"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Life.nlogo"
"2DLifeDensityWideSweep (wrapping OFF)"
"04/25/2025 14:21:55:061 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","initial-density","wrap?","[step]","count patches with [living?] / count patches"
"4","5","false","89","0.0017645328889324577"
"6","5","false","94","0.002058621703754534"
"5","5","false","93","0.00235271051857661"
"2","5","false","59","0.005293598666797373"
"1","5","false","92","0.00421527301244976"
"3","5","false","90","0.003921184197627684"
"6","5","false","95","0.002058621703754534"
"4","5","false","90","0.0017645328889324577"
"5","5","false","94","0.00235271051857661"
"6","5","false","96","0.002058621703754534"
"2","5","false","60","0.005293598666797373"
"4","5","false","91","0.0017645328889324577"
"1","5","false","93","0.00421527301244976"
"3","5","false","91","0.003921184197627684"
"5","5","false","95","0.00235271051857661"
"6","5","false","97","0.002058621703754534"
"1","5","false","94","0.00421527301244976"
"4","5","false","92","0.0017645328889324577"
"3","5","false","92","0.003921184197627684"
"2","5","false","61","0.005293598666797373"
"6","5","false","98","0.002058621703754534"
"5","5","false","96","0.00235271051857661"
"1","5","false","95","0.00421527301244976"
"4","5","false","93","0.0017645328889324577"
"3","5","false","93","0.003921184197627684"
"2","5","false","62","0.005293598666797373"
"5","5","false","97","0.00235271051857661"
"6","5","false","99","0.002058621703754534"
"1","5","false","96","0.00421527301244976"
"4","5","false","94","0.0017645328889324577"
"3","5","false","94","0.003921184197627684"
"5","5","false","98","0.00235271051857661"
"6","5","false","100","0.002058621703754534"
"4","5","false","95","0.0017645328889324577"
"2","5","false","63","0.005293598666797373"
"1","5","false","97","0.00421527301244976"
"3","5","false","95","0.003921184197627684"
"5","5","false","99","0.00235271051857661"
"4","5","false","96","0.0017645328889324577"
"6","5","false","101","0.002058621703754534"
"3","5","false","96","0.003921184197627684"
"1","5","false","98","0.00421527301244976"
"4","5","false","97","0.0017645328889324577"
"5","5","false","100","0.00235271051857661"
"2","5","false","64","0.005293598666797373"
"6","5","false","102","0.002058621703754534"
"3","5","false","97","0.003921184197627684"
"1","5","false","99","0.00421527301244976"
"4","5","false","98","0.0017645328889324577"
"5","5","false","101","0.00235271051857661"
"6","5","false","103","0.002058621703754534"
"2","5","false","65","0.005293598666797373"
"3","5","false","98","0.003921184197627684"
"1","5","false","100","0.00421527301244976"
"4","5","false","99","0.0017645328889324577"
"6","5","false","104","0.002058621703754534"
"3","5","false","99","0.003921184197627684"
"5","5","false","102","0.00235271051857661"
"1","5","false","101","0.00421527301244976"
"2","5","false","66","0.005293598666797373"
"4","5","false","100","0.0017645328889324577"
"6","5","false","105","0.002058621703754534"
"3","5","false","100","0.003921184197627684"
"5","5","false","103","0.00235271051857661"
"2","5","false","67","0.005293598666797373"
"1","5","false","102","0.00421527301244976"
"6","5","false","106","0.002058621703754534"
"4","5","false","101","0.0017645328889324577"
"3","5","false","101","0.003921184197627684"
"5","5","false","104","0.00235271051857661"
"1","5","false","103","0.00421527301244976"
"2","5","false","68","0.005293598666797373"
"3","5","false","102","0.003921184197627684"
"5","5","false","105","0.00235271051857661"
"6","5","false","107","0.002058621703754534"
"4","5","false","102","0.0017645328889324577"
"1","5","false","104","0.00421527301244976"
"5","5","false","106","0.00235271051857661"
"6","5","false","108","0.002058621703754534"
"2","5","false","69","0.005293598666797373"
"3","5","false","103","0.003921184197627684"
"1","5","false","105","0.00421527301244976"
"5","5","false","107","0.00235271051857661"
"4","5","false","103","0.0017645328889324577"
"6","5","false","109","0.002058621703754534"
"3","5","false","104","0.003921184197627684"
"2","5","false","70","0.005293598666797373"
"5","5","false","108","0.00235271051857661"
"4","5","false","104","0.0017645328889324577"
"1","5","false","106","0.00421527301244976"
"6","5","false","110","0.002058621703754534"
"3","5","false","105","0.003921184197627684"
"5","5","false","109","0.00235271051857661"
"6","5","false","111","0.002058621703754534"
"4","5","false","105","0.0017645328889324577"
"2","5","false","71","0.005293598666797373"
"3","5","false","106","0.003921184197627684"
"5","5","false","110","0.00235271051857661"
"1","5","false","107","0.00421527301244976"
"6","5","false","112","0.002058621703754534"
"4","5","false","106","0.0017645328889324577"
"3","5","false","107","0.003921184197627684"
"2","5","false","72","0.005293598666797373"
"6","5","false","113","0.002058621703754534"
"1","5","false","108","0.00421527301244976"
"3","5","false","108","0.003921184197627684"
"4","5","false","107","0.0017645328889324577"
"6","5","false","114","0.002058621703754534"
"1","5","false","109","0.00421527301244976"
"5","5","false","111","0.00235271051857661"
"2","5","false","73","0.005293598666797373"
"4","5","false","108","0.0017645328889324577"
"5","5","false","112","0.00235271051857661"
"6","5","false","115","0.002058621703754534"
"3","5","false","109","0.003921184197627684"
