"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-Life.nlogo"
"1DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:08:49:746 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","10200","0","0"
"[run number]","initial-density","wrap?","lambda","[step]","count patches with [living?] / count patches"
"3","5","true","50","167","0.002450740123517302"
"3","5","true","50","168","0.002450740123517302"
"3","5","true","50","169","0.002450740123517302"
"3","5","true","50","170","0.002450740123517302"
"3","5","true","50","171","0.002450740123517302"
"3","5","true","50","172","0.002450740123517302"
"3","5","true","50","173","0.002450740123517302"
"3","5","true","50","174","0.002450740123517302"
"3","5","true","50","175","0.002450740123517302"
"3","5","true","50","176","0.002450740123517302"
"3","5","true","50","177","0.002450740123517302"
"3","5","true","50","178","0.002450740123517302"
"3","5","true","50","179","0.002450740123517302"
"3","5","true","50","180","0.002450740123517302"
"3","5","true","50","181","0.002450740123517302"
"3","5","true","50","182","0.002450740123517302"
"3","5","true","50","183","0.002450740123517302"
"3","5","true","50","184","0.002450740123517302"
"3","5","true","50","185","0.002450740123517302"
"3","5","true","50","186","0.002450740123517302"
"3","5","true","50","187","0.002450740123517302"
"3","5","true","50","188","0.002450740123517302"
"3","5","true","50","189","0.002450740123517302"
"3","5","true","50","190","0.002450740123517302"
"3","5","true","50","191","0.002450740123517302"
"3","5","true","50","192","0.002450740123517302"
"3","5","true","50","193","0.002450740123517302"
"3","5","true","50","194","0.002450740123517302"
"3","5","true","50","195","0.002450740123517302"
"3","5","true","50","196","0.002450740123517302"
"3","5","true","50","197","0.002450740123517302"
"3","5","true","50","198","0.002450740123517302"
"3","5","true","50","199","0.002450740123517302"
"3","5","true","50","200","0.002450740123517302"
"4","5","true","50","0","0.050583276149397116"
"4","5","true","50","1","0.009704930889128516"
"4","5","true","50","2","0.0068620723458484465"
"4","5","true","50","3","0.006371924321144986"
"4","5","true","50","4","0.006764042740907754"
"4","5","true","50","5","0.006764042740907754"
"4","5","true","50","6","0.007254190765611215"
"4","5","true","50","7","0.00803842760513675"
"4","5","true","50","8","0.008528575629840211"
"4","5","true","50","9","0.009802960494069209"
"4","5","true","50","10","0.008724634839721596"
"4","5","true","50","11","0.011861582197823742"
"4","5","true","50","12","0.010097049308891284"
"4","5","true","50","13","0.012743848642289972"
"4","5","true","50","14","0.01225370061758651"
"4","5","true","50","15","0.014018233506518969"
"4","5","true","50","16","0.012351730222527203"
"4","5","true","50","17","0.013920203901578276"
"4","5","true","50","18","0.012155671012645818"
"4","5","true","50","19","0.014312322321341045"
"4","5","true","50","20","0.013233996666993432"
"4","5","true","50","21","0.014312322321341045"
