"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"5","5","true","false","56","0.003556666346246275"
"1","5","true","false","56","0.010189368451408248"
"6","5","true","false","66","0.004037296933576853"
"2","5","true","false","44","0.011439007978467749"
"4","5","true","false","55","0.015572431029510718"
"3","5","true","false","51","0.003845044698644622"
"5","5","true","false","57","0.003556666346246275"
"1","5","true","false","57","0.009324233394213208"
"6","5","true","false","67","0.004037296933576853"
"4","5","true","false","56","0.015668557146976833"
"2","5","true","false","45","0.011439007978467749"
"3","5","true","false","52","0.003845044698644622"
"1","5","true","false","58","0.010093242333942131"
"5","5","true","false","58","0.003556666346246275"
"2","5","true","false","46","0.011246755743535519"
"4","5","true","false","57","0.018167836201095838"
"3","5","true","false","53","0.003845044698644622"
"6","5","true","false","68","0.004037296933576853"
"1","5","true","false","59","0.010285494568874363"
"5","5","true","false","59","0.003556666346246275"
"3","5","true","false","54","0.003845044698644622"
"2","5","true","false","47","0.011535134095933866"
"4","5","true","false","58","0.015380178794578488"
"1","5","true","false","60","0.010669999038738826"
"5","5","true","false","60","0.003556666346246275"
"3","5","true","false","55","0.003845044698644622"
"6","5","true","false","69","0.004037296933576853"
"4","5","true","false","59","0.015764683264442948"
"2","5","true","false","48","0.011535134095933866"
"5","5","true","false","61","0.003556666346246275"
"1","5","true","false","61","0.010669999038738826"
"3","5","true","false","56","0.003845044698644622"
"6","5","true","false","70","0.004037296933576853"
"4","5","true","false","60","0.016245313851773528"
"2","5","true","false","49","0.011823512448332211"
"5","5","true","false","62","0.003556666346246275"
"3","5","true","false","57","0.003845044698644622"
"1","5","true","false","62","0.011342881861001634"
"4","5","true","false","61","0.016629818321637988"
